inspec_ym,inspec_loc,pH,water02,SS,water04,water05,DO,TP,대장균총,분원성대장균,수온,EC,water12,water13,water14,water15,water16,water17,water18,water19,TN,water21,water22,water23,water24,water25,water26,water27,area_CODE,area_NAME,river_CODE,river_NAME,loc_NAME,loc_ADDR,year,month,river_name,track,ecoli_label_raw,label_A,label_B
202104,329,7.6,1.5,4.4,3.1,3.4,10.3,0.088,,,15.9,232.0,0.0,,,,,,,0.202,1.752,2.21,2.326,0.034,0.039,,1.5,,1,수영강,29,온천천,온천천(세병),세병교,2021,4,온천천,A,,0,0
202105,206,7.7,8.8,10.9,6.5,4.3,4.7,1.578,214300.0,21300.0,17.8,1472.0,0.0,,,,,,,13.191,0.349,15.025,15.117,1.391,1.532,,0.6,,2,중부산,3,동천,동천1,광무교,2021,5,동천,B,21300.0,1,0
202105,207,7.9,1.3,2.0,1.6,3.8,6.4,0.098,9900.0,630.0,17.1,51101.0,0.0,,,,,,,0.329,0.105,1.009,1.076,0.058,0.097,,2.0,,2,중부산,3,동천,동천2,범4호교,2021,5,동천,B,630.0,0,0
202105,208,7.6,2.3,2.0,1.7,4.8,2.3,0.117,8750.0,1550.0,18.0,51566.0,0.0,,,,,,,0.329,0.1,1.0,1.231,0.074,0.094,,1.5,,2,중부산,3,동천,동천3,범일교,2021,5,동천,B,1550.0,1,1
202105,215,8.1,1.0,4.5,2.6,2.9,10.4,0.076,8780.0,1498.0,17.9,266.0,0.0,,,,,,,0.038,1.858,2.3,3.06,0.044,0.071,,5.7,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,2021,5,온천천,A,1498.0,1,0
202105,216,7.6,1.0,4.4,2.4,2.5,7.8,0.084,8570.0,1076.0,16.8,376.0,0.0,,,,,,,0.088,2.096,2.226,2.326,0.056,0.072,,3.8,,1,수영강,29,온천천,온천천2(연안교),연안교,2021,5,온천천,A,1076.0,1,0
202103,206,7.6,9.6,15.4,10.3,0.9,1.5,1.192,581800.0,91800.0,10.3,1354.0,0.0,0.0,,,0.0,0.0,0.0,11.383,0.656,12.455,13.148,1.202,1.157,0.2,0.0,0.0,2,중부산,3,동천,동천1,광무교,2021,3,동천,B,91800.0,1,1
202103,207,7.7,1.9,3.1,3.2,4.4,5.5,0.117,130650.0,61310.0,13.1,47072.0,0.0,0.0,,,0.0,0.0,0.0,0.71,0.081,1.429,1.611,0.089,0.105,0.0,1.5,0.0,2,중부산,3,동천,동천2,범4호교,2021,3,동천,B,61310.0,1,0
202103,208,7.4,2.4,5.1,3.9,2.4,2.4,0.187,306550.0,173290.0,12.6,45929.0,0.0,0.0,,,0.0,0.0,0.0,1.209,0.007,2.037,2.457,0.099,0.146,0.0,0.3,0.0,2,중부산,3,동천,동천3,범일교,2021,3,동천,B,173290.0,1,1
202103,215,8.6,1.9,6.1,4.6,6.2,11.5,0.069,36540.0,6428.0,12.0,365.0,0.0,0.0,,,0.0,0.0,0.0,0.051,2.28,2.948,3.41,0.017,0.02,0.0,4.6,0.0,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,2021,3,온천천,A,6428.0,1,0
